Name,Wind Direction,Latitude,Cloud Cover,Chance Precipitation (%),Minimum Temperature,Date time,Precipitation,Solar Radiation,Dew Point,Relative Humidity,ID,Longitude,Temperature,Maximum Temperature,Visibility,Wind Speed,Solar Energy,Heat Index,Snow Depth,Sea Level Pressure,Snow,Name,Wind Gust,Conditions,Wind Chill
"Maliesingel, 3581 Utrecht, Nederland",62,52.0875,99.8,66.6,4,12/07/2020 06:00:00,1.1,46.7,3.5,88.5,49707daec8,5.12903,4.6,5,9.6,13.4,0.3,,0,997,0,"Maliesingel, 3581 Utrecht, Nederland",40.3,"Rain, Overcast",1.4
"Maliesingel, 3581 Utrecht, Nederland",128.3,52.0875,85.6,9.5,-0.8,12/07/2020 18:00:00,0,3.3,0.7,92.4,49707daec8,5.12903,0.7,3.6,24.1,6.2,0,,0,1000.6,0,"Maliesingel, 3581 Utrecht, Nederland",30.6,Overcast,-2.2
"Maliesingel, 3581 Utrecht, Nederland",221.9,52.0875,96.8,0,-0.6,12/08/2020 06:00:00,0,55,0.4,88.8,49707daec8,5.12903,0.6,1.9,24.1,5.5,0.7,,0,1003.3,0,"Maliesingel, 3581 Utrecht, Nederland",17.3,Overcast,-2.8
"Maliesingel, 3581 Utrecht, Nederland",216.6,52.0875,98.2,0,0.9,12/08/2020 18:00:00,0,9.2,-0.1,91.6,49707daec8,5.12903,1.5,1.9,24.1,2.9,0.1,,0,1006.8,0,"Maliesingel, 3581 Utrecht, Nederland",12.2,Overcast,-0.9
"Maliesingel, 3581 Utrecht, Nederland",144.8,52.0875,100,0,1.3,12/09/2020 06:00:00,0,70.8,0.2,89,49707daec8,5.12903,1.6,2,24.1,2.5,0.9,,0,1007.8,0,"Maliesingel, 3581 Utrecht, Nederland",10.4,Overcast,-1.4
"Maliesingel, 3581 Utrecht, Nederland",90.6,52.0875,97.7,9.5,0.9,12/09/2020 18:00:00,0,12.5,0.3,93.4,49707daec8,5.12903,1.2,1.6,24.1,7.2,0.2,,0,1006.5,0,"Maliesingel, 3581 Utrecht, Nederland",24.5,Overcast,-2
"Maliesingel, 3581 Utrecht, Nederland",134.8,52.0875,98.4,4.8,0.6,12/10/2020 06:00:00,0,52.5,1.5,90,49707daec8,5.12903,1.8,3.4,24.1,11.6,0.6,,0,1004.6,0,"Maliesingel, 3581 Utrecht, Nederland",31.7,Overcast,-2.5
"Maliesingel, 3581 Utrecht, Nederland",163,52.0875,88.4,9.5,0.3,12/10/2020 18:00:00,0,9.2,-0.1,92.1,49707daec8,5.12903,0.6,1.4,24.1,10.2,0.1,,0,1003.8,0,"Maliesingel, 3581 Utrecht, Nederland",29.2,Overcast,-2.8
"Maliesingel, 3581 Utrecht, Nederland",43.8,52.0875,99.7,33.2,0.1,12/11/2020 06:00:00,0.6,7.5,0.4,89.9,49707daec8,5.12903,1.8,3.8,23.8,13.9,0.1,,0,999.1,0,"Maliesingel, 3581 Utrecht, Nederland",30.6,Overcast,-3.5
"Maliesingel, 3581 Utrecht, Nederland",20,52.0875,100,47.5,4.3,12/11/2020 18:00:00,1.2,2.5,4.5,96.3,49707daec8,5.12903,5,6.3,24.1,13.5,0,,0,996.3,0,"Maliesingel, 3581 Utrecht, Nederland",31.6,Overcast,1.3
"Maliesingel, 3581 Utrecht, Nederland",33.8,52.0875,91.4,38,6.3,12/12/2020 06:00:00,1.5,36.7,5.9,92.1,49707daec8,5.12903,7.1,8.4,24.1,16.4,0.4,,0,998.5,0,"Maliesingel, 3581 Utrecht, Nederland",36,Overcast,3.2
"Maliesingel, 3581 Utrecht, Nederland",14.3,52.0875,96.4,23.7,6.2,12/12/2020 18:00:00,12.37,10.8,5.7,92.3,49707daec8,5.12903,6.9,7.6,10.1,19.2,0.1,,0,997,0,"Maliesingel, 3581 Utrecht, Nederland",51.1,Overcast,3.3
"Maliesingel, 3581 Utrecht, Nederland",60.1,52.0875,78.6,23.7,7,12/13/2020 06:00:00,9.83,41.4,6.9,91.4,49707daec8,5.12903,8.3,9.9,9.1,15.6,0.5,,0,996.1,0,"Maliesingel, 3581 Utrecht, Nederland",42,Overcast,3.9
"Maliesingel, 3581 Utrecht, Nederland",39.4,52.0875,93.2,42.9,7.8,12/13/2020 18:00:00,0.83,13.6,7.3,91.2,49707daec8,5.12903,8.6,10,24.1,20.6,0.2,,0,1004.7,0,"Maliesingel, 3581 Utrecht, Nederland",56.9,Overcast,4.5
"Maliesingel, 3581 Utrecht, Nederland",32.1,52.0875,86.2,57,7.7,12/14/2020 06:00:00,6,14.7,8.2,92.5,49707daec8,5.12903,9.4,12.1,7.8,17.4,0.2,,0,1008.4,0,"Maliesingel, 3581 Utrecht, Nederland",54.4,"Rain, Overcast",5.3
"Maliesingel, 3581 Utrecht, Nederland",32.7,52.0875,100,52.4,11.8,12/14/2020 18:00:00,3.07,0.3,10.1,88.1,49707daec8,5.12903,12,12.2,24.1,27,0,,0,1008.5,0,"Maliesingel, 3581 Utrecht, Nederland",59.2,"Rain, Overcast",
"Maliesingel, 3581 Utrecht, Nederland",52.3,52.0875,94.7,38,10.4,12/15/2020 06:00:00,0.63,36.4,7.8,76.5,49707daec8,5.12903,11.9,12.5,24.1,32.2,0.4,,0,1009.9,0,"Maliesingel, 3581 Utrecht, Nederland",65.2,Overcast,
"Maliesingel, 3581 Utrecht, Nederland",74.5,52.0875,97.1,28.6,6.5,12/15/2020 18:00:00,0.27,13.6,5.5,85.8,49707daec8,5.12903,7.7,10.2,24.1,15.9,0.2,,0,1020.1,0,"Maliesingel, 3581 Utrecht, Nederland",46,Overcast,3.8
"Maliesingel, 3581 Utrecht, Nederland",68.2,52.0875,95.2,28.6,6.2,12/16/2020 06:00:00,0,36.4,5.7,90,49707daec8,5.12903,7.2,8.8,24.1,14.3,0.4,,0,1023.4,0,"Maliesingel, 3581 Utrecht, Nederland",34.1,Overcast,3.2
"Maliesingel, 3581 Utrecht, Nederland",70.7,52.0875,73.9,38,3.8,12/16/2020 18:00:00,10.1,11.1,4.2,88,49707daec8,5.12903,6.1,7.5,12.6,14.9,0.1,,0,1018.1,0,"Maliesingel, 3581 Utrecht, Nederland",38.4,Partially cloudy,0.4
"Maliesingel, 3581 Utrecht, Nederland",26.5,52.0875,48.2,19,4.9,12/17/2020 06:00:00,3.87,43.6,3.6,83.4,49707daec8,5.12903,6.2,7.3,21.1,18.3,0.5,,0,1018.2,0,"Maliesingel, 3581 Utrecht, Nederland",49,Partially cloudy,0.8
"Maliesingel, 3581 Utrecht, Nederland",29.2,52.0875,66.8,38,3.1,12/17/2020 18:00:00,0.73,13.9,2.4,85.2,49707daec8,5.12903,4.7,6,24.1,17.5,0.2,,0,1022,0,"Maliesingel, 3581 Utrecht, Nederland",43.2,Partially cloudy,-0.7
"Maliesingel, 3581 Utrecht, Nederland",35.7,52.0875,63.5,38,2.7,12/18/2020 06:00:00,0.33,19.4,1.6,84.4,49707daec8,5.12903,3.9,5,24.1,11.1,0.2,,0,1028,0,"Maliesingel, 3581 Utrecht, Nederland",35,Partially cloudy,-0.5
"Maliesingel, 3581 Utrecht, Nederland",31.1,52.0875,59.7,23.7,0.1,12/18/2020 18:00:00,0.57,5.6,-0.2,85.6,49707daec8,5.12903,2.1,4.1,24.1,12.2,0.1,,0,1031.3,0,"Maliesingel, 3581 Utrecht, Nederland",33.8,Partially cloudy,-3.2
"Maliesingel, 3581 Utrecht, Nederland",34.9,52.0875,1.4,9.5,-0.3,12/19/2020 06:00:00,0,60.6,-1.4,82.1,49707daec8,5.12903,1.4,3.5,24.1,8.1,0.7,,0,1034.3,0,"Maliesingel, 3581 Utrecht, Nederland",18.4,Clear,-3.6
"Maliesingel, 3581 Utrecht, Nederland",51.3,52.0875,1.4,33.2,0.4,12/19/2020 18:00:00,0,19.4,-1.6,85.3,49707daec8,5.12903,0.6,1.4,24.1,7,0.2,,0,1035.2,0,"Maliesingel, 3581 Utrecht, Nederland",13.8,Clear,-2.4
"Maliesingel, 3581 Utrecht, Nederland",67,52.0875,83.6,33.2,2.1,12/20/2020 06:00:00,0.57,16.9,2.7,87.1,49707daec8,5.12903,4.6,6.3,24.1,12,0.2,,0,1030.3,0,"Maliesingel, 3581 Utrecht, Nederland",42,Overcast,-0.8
"Maliesingel, 3581 Utrecht, Nederland",39,52.0875,59.6,14.3,2.6,12/20/2020 18:00:00,0.3,5.6,1.3,81.8,49707daec8,5.12903,4.1,5.1,24.1,14,0.1,,0,1027.9,0,"Maliesingel, 3581 Utrecht, Nederland",45.4,Partially cloudy,-0.8
"Maliesingel, 3581 Utrecht, Nederland",59.1,52.0875,91.6,33.2,4.4,12/21/2020 06:00:00,3.03,31.7,2.2,78,49707daec8,5.12903,5.7,7.6,14.1,15.3,0.4,,0,1023.1,0,"Maliesingel, 3581 Utrecht, Nederland",41.4,Overcast,1.5
"Maliesingel, 3581 Utrecht, Nederland",56.4,52.0875,82,33.2,3.2,12/21/2020 18:00:00,0.6,10.8,1.3,84.2,49707daec8,5.12903,3.8,5.2,24.1,10.5,0.1,,0,1020.9,0,"Maliesingel, 3581 Utrecht, Nederland",39,Overcast,0.5
"Maliesingel, 3581 Utrecht, Nederland",50.3,52.0875,89.7,4.8,3,12/22/2020 06:00:00,5,23.9,2.2,85.4,49707daec8,5.12903,4.4,5.9,17.9,14.2,0.3,,0,1017,0,"Maliesingel, 3581 Utrecht, Nederland",44.6,Overcast,-0.3
